time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1584175536.17740202,0.02807758,0.02127829,-nan,9607.00000000,0.02807758,0.000000,0.000000
1584175536.27751493,0.02414687,0.01321813,-nan,11553.00000000,0.02021615,0.000000,0.000000
1584175536.37754893,0.02056685,0.00927648,-nan,12895.00000000,0.01340681,0.000000,0.000000
1584175536.47768688,0.01884882,0.00976280,-nan,13648.00000000,0.01369475,0.000000,0.000000
1584175536.57772803,0.02107795,0.00726523,0.00000231,14336.00000000,0.02999444,0.000000,0.000000
1584175536.67787194,0.02455590,0.00775058,0.00000318,14970.00000000,0.04194567,0.000000,0.000000
1584175536.77786803,0.02531285,0.00703638,0.00000233,15417.00000000,0.02985454,0.000000,0.000000
1584175536.87796903,0.02537401,0.00623460,0.00000222,15558.00000000,0.02580217,0.000000,0.000000
1584175536.97807407,0.02563538,0.00626881,0.00000217,15844.00000000,0.02772635,0.000000,0.000000
1584175537.07815909,0.02578991,0.00616992,0.00000219,16175.00000000,0.02718069,0.000000,0.000000
1584175537.17824602,0.02605471,0.00643657,0.00000227,16396.00000000,0.02870270,0.000000,0.000000
1584175537.27835703,0.02612109,0.00567627,0.00000236,16207.00000000,0.02685126,0.000000,0.000000
1584175537.37846804,0.02618521,0.00605123,0.00000228,16534.00000000,0.02695464,0.000000,0.000000
1584175537.47854304,0.02624266,0.00571275,0.00000221,16614.00000000,0.02698952,0.000000,0.000000
1584175537.57861805,0.02629625,0.00591049,0.00000221,16748.00000000,0.02704651,0.000000,0.000000
1584175537.67870808,0.02643770,0.00627269,0.00000222,17144.00000000,0.02855945,0.000000,0.000000
1584175537.77878690,0.02643236,0.00599741,0.00000221,16640.00000000,0.02634694,0.000000,0.000000
1584175537.87888908,0.02644916,0.00524328,0.00000221,16652.00000000,0.02673463,0.000000,0.000000
1584175537.97896004,0.02645165,0.00531725,0.00000237,16955.00000000,0.02649664,0.000000,0.000000
1584175538.07901192,0.02694664,0.00577094,0.00000324,17073.00000000,0.03635129,0.000000,0.000000
1584175538.17912602,0.02689279,0.00568953,0.00000221,17289.00000000,0.02581581,0.000000,0.000000
1584175538.27922010,0.02690831,0.00562941,0.00000221,17295.00000000,0.02723433,0.000000,0.000000
1584175538.37927294,0.02695184,0.00517632,0.00000225,17267.00000000,0.02790947,0.000000,0.000000
1584175538.47937894,0.02746969,0.00723850,0.00000315,17509.00000000,0.03938011,0.000000,0.000000
1584175538.57950902,0.02743547,0.00541879,0.00000221,17758.00000000,0.02661422,0.000000,0.000000
1584175538.67954111,0.02744488,0.00589655,0.00000224,18062.00000000,0.02768010,0.000000,0.000000
1584175538.77966499,0.02739789,0.00541319,0.00000227,18280.00000000,0.02617617,0.000000,0.000000
1584175538.87971807,0.02738352,0.00536164,0.00000227,18309.00000000,0.02699556,0.000000,0.000000
1584175538.97988296,0.02737722,0.00566156,0.00000226,18356.00000000,0.02720082,0.000000,0.000000
1584175539.07988811,0.02731181,0.00492640,0.00000225,18510.00000000,0.02541507,0.000000,0.000000
1584175539.17998099,0.02730134,0.00523228,0.00000222,18510.00000000,0.02698720,0.000000,0.000000
1584175539.28008509,0.02726563,0.00516782,0.00000224,18544.00000000,0.02615843,0.000000,0.000000
1584175539.38017797,0.02729405,0.00539145,0.00000234,18546.00000000,0.02820354,0.000000,0.000000
